ID,account_id,amount,transaction_data
137,195,-58,2025-06-23
138,385,-7,2025-06-23
139,80,-24,2025-06-23
140,326,-564,2025-06-23
141,141,-21,2025-06-23
142,157,-50,2025-06-23
143,135,-121,2025-06-23
144,296,33,2025-06-23
145,361,59,2025-06-23
146,355,47,2025-06-24
147,210,18,2025-06-24
148,151,-547,2025-06-24
149,216,-43,2025-06-24
150,59,-804,2025-06-24
151,76,-118,2025-06-24
152,23,183,2025-06-24
153,355,-651,2025-06-24
154,318,-10,2025-06-24
155,221,37,2025-06-24
156,338,-141,2025-06-24
157,41,-77,2025-06-24
158,275,607,2025-06-24
159,150,-918,2025-06-24
160,62,-3135,2025-06-24
161,290,-68,2025-06-24
162,260,-330,2025-06-24
163,430,-22,2025-06-24
164,459,-72,2025-06-24
165,233,-791,2025-06-24
166,92,-39,2025-06-24
167,96,-91,2025-06-24
168,260,-35,2025-06-24
169,428,-6,2025-06-24
170,195,38,2025-06-24
171,170,2867,2025-06-24
172,274,118,2025-06-24
173,436,-46,2025-06-25
174,256,-231,2025-06-25
175,116,-158,2025-06-25
176,38,-4689,2025-06-25
177,113,41,2025-06-25
178,285,-99,2025-06-25
179,464,26,2025-06-25
180,438,18,2025-06-25
181,245,-156,2025-06-25
182,287,-32,2025-06-25
183,28,-83,2025-06-25
184,141,17,2025-06-25
185,103,-124,2025-06-25
186,86,383,2025-06-25
187,13,-66,2025-06-25
188,427,-11,2025-06-25
189,464,-13,2025-06-25
190,197,-26,2025-06-25
191,309,-487,2025-06-25
192,263,-31,2025-06-25
193,396,514,2025-06-25
194,226,-23,2025-06-25
195,449,-135,2025-06-25
196,165,-132,2025-06-25
197,39,-154,2025-06-25
198,121,21,2025-06-25
199,171,487,2025-06-25
200,471,-6,2025-06-25
201,32,-57,2025-06-26
202,351,43,2025-06-26
203,424,-31,2025-06-26
204,135,-10,2025-06-26
205,353,49,2025-06-26
206,80,-624,2025-06-26
207,308,-19,2025-06-26
208,108,-103,2025-06-26
209,76,-37,2025-06-26
210,204,-10,2025-06-26
211,92,-222,2025-06-26
212,204,-846,2025-06-26
213,175,-41,2025-06-26
214,189,-19,2025-06-26
215,112,702,2025-06-26
216,492,-43,2025-06-26
217,66,-910,2025-06-26
218,50,-133,2025-06-26
219,432,-48,2025-06-26
220,142,-97,2025-06-26
221,173,-5,2025-06-26
222,83,10,2025-06-26
223,165,-4879,2025-06-26
224,254,12,2025-06-26
225,308,-133,2025-06-26
226,62,128,2025-06-26
227,208,-18,2025-06-26
228,388,163,2025-06-27
229,111,634,2025-06-27
230,195,12,2025-06-27
231,1,85,2025-06-27
232,391,-200,2025-06-27
233,260,-31,2025-06-27
234,418,-135,2025-06-27
235,28,-333,2025-06-27
236,188,-73,2025-06-27
237,105,-25,2025-06-27
238,385,-20,2025-06-27
239,454,-28,2025-06-27
240,252,-4317,2025-06-27
241,77,65,2025-06-27
242,190,-130,2025-06-27
243,314,12,2025-06-27
244,364,-49,2025-06-27
245,278,64,2025-06-27
246,81,-55,2025-06-27
247,251,-839,2025-06-27
248,63,375,2025-06-27
249,169,-26,2025-06-27
250,78,-38,2025-06-27
251,342,-36,2025-06-27
252,417,-405,2025-06-27
253,53,18,2025-06-27
254,272,-24,2025-06-27
255,426,-765,2025-06-27
256,345,20,2025-06-28
257,337,-9,2025-06-28
258,108,42,2025-06-28
259,400,-46,2025-06-28
260,134,-4023,2025-06-28
261,360,5,2025-06-28
262,277,-48,2025-06-28
263,129,-1653,2025-06-28
264,176,-10,2025-06-28
265,22,-30,2025-06-28
266,221,180,2025-06-28
267,447,-24,2025-06-28
268,397,-14,2025-06-28
269,485,-23,2025-06-28
270,492,-102,2025-06-28
271,475,-47,2025-06-28
272,279,-47,2025-06-28
273,318,-23,2025-06-28
274,344,34,2025-06-28
275,171,-5,2025-06-28
276,288,21,2025-06-28
277,400,30,2025-06-28
278,369,-243,2025-06-28
279,456,39,2025-06-28
280,272,-20,2025-06-28
281,70,26,2025-06-28
282,335,-26,2025-06-28
283,275,2856,2025-06-29
284,328,129,2025-06-29
285,38,-17,2025-06-29
286,134,-21,2025-06-29
287,437,-34,2025-06-29
288,80,514,2025-06-29
289,120,-12,2025-06-29
290,247,47,2025-06-29
291,459,640,2025-06-29
292,285,-25,2025-06-29
293,419,2997,2025-06-29
294,427,29,2025-06-29
295,369,165,2025-06-29
296,133,-470,2025-06-29
297,319,-165,2025-06-29
298,386,-121,2025-06-29
299,419,-23,2025-06-29
300,315,-14,2025-06-29
301,495,53,2025-06-29
302,426,-791,2025-06-29
303,371,12,2025-06-29
304,56,-268,2025-06-29
305,229,-33,2025-06-29
306,167,-60,2025-06-29
307,499,-39,2025-06-29
308,276,-53,2025-06-29
309,461,-69,2025-06-29
310,333,-83,2025-06-30
311,459,-561,2025-06-30
312,249,619,2025-06-30
313,166,57,2025-06-30
314,315,-5,2025-06-30
315,254,-431,2025-06-30
316,463,-763,2025-06-30
317,493,-91,2025-06-30
318,8,15,2025-06-30
319,196,-85,2025-06-30
320,277,-46,2025-06-30
321,139,43,2025-06-30
322,408,-28,2025-06-30
323,226,-41,2025-06-30
324,231,3457,2025-06-30
325,401,-5,2025-06-30
326,271,-378,2025-06-30
327,355,17,2025-06-30
328,396,-45,2025-06-30
329,435,45,2025-06-30
330,247,-215,2025-06-30
331,161,-22,2025-06-30
332,408,695,2025-06-30
333,54,-32,2025-06-30
334,107,-22,2025-06-30
335,180,24,2025-06-30
336,354,181,2025-06-30
337,150,76,2025-06-30
338,168,124,2025-07-01
339,265,161,2025-07-01
340,79,-14,2025-07-01
341,446,-30,2025-07-01
342,211,-56,2025-07-01
343,473,-908,2025-07-01
344,441,-41,2025-07-01
345,98,-31,2025-07-01
346,202,23,2025-07-01
347,333,49,2025-07-01
348,282,-37,2025-07-01
349,494,-179,2025-07-01
350,233,12,2025-07-01
351,425,-18,2025-07-01
352,390,-37,2025-07-01
353,288,-159,2025-07-01
354,127,179,2025-07-01
355,461,-24,2025-07-01
356,250,-17,2025-07-01
357,367,119,2025-07-01
358,248,-35,2025-07-01
359,407,37,2025-07-01
360,102,696,2025-07-01
361,435,-2013,2025-07-01
362,182,-11,2025-07-01
363,43,-15,2025-07-01
364,159,-35,2025-07-01
365,418,-44,2025-07-02
366,206,607,2025-07-02
367,62,-674,2025-07-02
368,32,188,2025-07-02
369,48,-45,2025-07-02
370,106,-624,2025-07-02
371,494,-3836,2025-07-02
372,404,-172,2025-07-02
373,236,-123,2025-07-02
374,343,-8,2025-07-02
375,251,-43,2025-07-02
376,51,-3002,2025-07-02
377,87,12,2025-07-02
378,308,-398,2025-07-02
379,318,38,2025-07-02
380,476,-485,2025-07-02
381,479,-26,2025-07-02
382,108,89,2025-07-02
383,106,-45,2025-07-02
384,127,-136,2025-07-02
385,18,-817,2025-07-02
386,419,2804,2025-07-02
387,90,5,2025-07-02
388,337,50,2025-07-02
389,324,195,2025-07-02
390,252,72,2025-07-02
391,379,-112,2025-07-02
392,372,-36,2025-07-02
393,195,-275,2025-07-03
394,33,-47,2025-07-03
395,317,-113,2025-07-03
396,236,-764,2025-07-03
397,94,468,2025-07-03
398,4,-676,2025-07-03
399,373,33,2025-07-03
400,228,-510,2025-07-03
401,68,-35,2025-07-03
402,297,874,2025-07-03
403,281,-901,2025-07-03
404,495,-22,2025-07-03
405,478,-80,2025-07-03
406,469,-25,2025-07-03
407,493,-20,2025-07-03
408,194,61,2025-07-03
409,419,12,2025-07-03
410,9,-936,2025-07-03
411,82,-182,2025-07-03
412,164,-23,2025-07-03
413,362,-185,2025-07-03
414,387,-164,2025-07-03
415,202,-711,2025-07-03
416,163,-135,2025-07-03
417,482,46,2025-07-03
418,305,-553,2025-07-03
419,212,-242,2025-07-03
420,99,-6,2025-07-04
421,276,-25,2025-07-04
422,434,-613,2025-07-04
423,384,-572,2025-07-04
424,191,104,2025-07-04
425,142,-670,2025-07-04
426,436,-49,2025-07-04
427,33,-26,2025-07-04
428,484,-116,2025-07-04
429,373,-47,2025-07-04
430,478,-55,2025-07-04
431,272,168,2025-07-04
432,391,-35,2025-07-04
433,381,-28,2025-07-04
434,460,-44,2025-07-04
435,256,-38,2025-07-04
436,239,-30,2025-07-04
437,392,-18,2025-07-04
438,151,-20,2025-07-04
439,281,-171,2025-07-04
440,57,91,2025-07-04
441,473,-133,2025-07-04
442,181,-41,2025-07-04
443,218,-6,2025-07-04
444,461,33,2025-07-04
445,403,323,2025-07-04
446,425,-657,2025-07-04
447,318,46,2025-07-05
448,398,-139,2025-07-05
449,245,-138,2025-07-05
450,259,-30,2025-07-05
451,446,-42,2025-07-05
452,130,141,2025-07-05
453,48,-743,2025-07-05
454,182,-43,2025-07-05
455,245,44,2025-07-05
456,213,-21,2025-07-05
457,187,-345,2025-07-05
458,75,-470,2025-07-05
459,297,-12,2025-07-05
460,259,42,2025-07-05
461,112,-18,2025-07-05
462,368,4165,2025-07-05
463,49,39,2025-07-05
464,449,142,2025-07-05
465,428,117,2025-07-05
466,170,-35,2025-07-05
467,434,18,2025-07-05
468,416,-35,2025-07-05
469,32,-13,2025-07-05
470,336,-156,2025-07-05
471,66,37,2025-07-05
472,56,-23,2025-07-05
473,169,-48,2025-07-05
474,108,-36,2025-07-05
475,353,-38,2025-07-06
476,492,-31,2025-07-06
477,356,-4601,2025-07-06
478,241,-47,2025-07-06
479,371,161,2025-07-06
480,106,28,2025-07-06
481,5,-47,2025-07-06
482,357,-68,2025-07-06
483,228,123,2025-07-06
484,420,-7,2025-07-06
485,477,86,2025-07-06
486,41,139,2025-07-06
487,15,-57,2025-07-06
488,143,-24,2025-07-06
489,420,-47,2025-07-06
490,472,10,2025-07-06
491,394,-67,2025-07-06
492,18,9,2025-07-06
493,203,-38,2025-07-06
494,91,-26,2025-07-06
495,444,101,2025-07-06
496,176,-160,2025-07-06
497,200,147,2025-07-06
498,204,-27,2025-07-06
499,257,-799,2025-07-06
500,91,89,2025-07-06
501,443,-43,2025-07-06
502,30,61,2025-07-07
503,356,-9,2025-07-07
504,75,-107,2025-07-07
505,194,-286,2025-07-07
506,289,-169,2025-07-07
507,318,44,2025-07-07
508,421,-18,2025-07-07
509,164,-18,2025-07-07
510,59,-832,2025-07-07
511,468,50,2025-07-07
512,161,-115,2025-07-07
513,337,78,2025-07-07
514,323,-17,2025-07-07
515,380,-561,2025-07-07
516,289,75,2025-07-07
517,24,-85,2025-07-07
518,62,-3378,2025-07-07
519,438,48,2025-07-07
520,447,54,2025-07-07
521,206,-31,2025-07-07
522,316,-22,2025-07-07
523,336,675,2025-07-07
524,5,-17,2025-07-07
525,227,-5,2025-07-07
526,321,-273,2025-07-07
527,60,-58,2025-07-07
528,118,-47,2025-07-07
529,69,-187,2025-07-07
530,324,-171,2025-07-08
531,13,78,2025-07-08
532,471,-687,2025-07-08
533,480,167,2025-07-08
534,125,-17,2025-07-08
535,409,-38,2025-07-08
536,456,-48,2025-07-08
537,46,-39,2025-07-08
538,376,-938,2025-07-08
539,354,38,2025-07-08
540,130,22,2025-07-08
541,65,-35,2025-07-08
542,494,-122,2025-07-08
543,22,-45,2025-07-08
544,92,46,2025-07-08
545,171,-8,2025-07-08
546,495,-22,2025-07-08
547,308,-48,2025-07-08
548,292,-197,2025-07-08
549,375,-19,2025-07-08
550,220,34,2025-07-08
551,22,-38,2025-07-08
552,134,-14,2025-07-08
553,223,-889,2025-07-08
554,419,102,2025-07-08
555,147,517,2025-07-08
556,239,-20,2025-07-08
557,399,-30,2025-07-09
558,358,176,2025-07-09
559,404,-26,2025-07-09
560,192,120,2025-07-09
561,101,553,2025-07-09
562,396,-162,2025-07-09
563,22,-152,2025-07-09
564,297,-6,2025-07-09
565,285,-84,2025-07-09
566,469,139,2025-07-09
567,56,-10,2025-07-09
568,113,-967,2025-07-09
569,324,34,2025-07-09
570,245,29,2025-07-09
571,28,-178,2025-07-09
572,230,-3591,2025-07-09
573,226,-6,2025-07-09
574,219,46,2025-07-09
575,200,504,2025-07-09
576,233,-26,2025-07-09
577,401,6,2025-07-09
578,47,-962,2025-07-09
579,48,-344,2025-07-09
580,474,152,2025-07-09
581,281,5,2025-07-09
582,317,-176,2025-07-09
583,331,87,2025-07-09
584,74,-501,2025-07-10
585,132,31,2025-07-10
586,291,-30,2025-07-10
587,107,28,2025-07-10
588,241,26,2025-07-10
589,315,-62,2025-07-10
590,277,-85,2025-07-10
591,4,-1520,2025-07-10
592,429,14,2025-07-10
593,435,-91,2025-07-10
594,14,-896,2025-07-10
595,354,-395,2025-07-10
596,77,-157,2025-07-10
597,460,-626,2025-07-10
598,208,-31,2025-07-10
599,323,475,2025-07-10
600,325,21,2025-07-10
601,341,-580,2025-07-10
602,108,-13,2025-07-10
603,7,122,2025-07-10
604,284,-121,2025-07-10
605,97,-41,2025-07-10
606,322,24,2025-07-10
607,333,-118,2025-07-10
608,39,-49,2025-07-10
609,282,-33,2025-07-10
610,85,26,2025-07-10
611,64,2700,2025-07-10
612,97,-11,2025-07-11
613,307,-145,2025-07-11
614,120,-66,2025-07-11
615,372,-171,2025-07-11
616,359,-42,2025-07-11
617,199,-624,2025-07-11
618,27,10,2025-07-11
619,488,-13,2025-07-11
620,484,-47,2025-07-11
621,330,44,2025-07-11
622,136,205,2025-07-11
623,322,-17,2025-07-11
624,12,-11,2025-07-11
625,343,154,2025-07-11
626,249,-50,2025-07-11
627,114,-13,2025-07-11
628,406,191,2025-07-11
629,411,-39,2025-07-11
630,13,-40,2025-07-11
631,139,-154,2025-07-11
632,151,409,2025-07-11
633,316,-23,2025-07-11
634,357,-28,2025-07-11
635,394,-32,2025-07-11
636,429,-735,2025-07-11
637,295,34,2025-07-11
638,233,-19,2025-07-11
639,69,-661,2025-07-12
640,275,-25,2025-07-12
641,273,-159,2025-07-12
642,149,13,2025-07-12
643,227,-149,2025-07-12
644,471,49,2025-07-12
645,381,185,2025-07-12
646,407,-675,2025-07-12
647,498,-50,2025-07-12
648,258,-383,2025-07-12
649,90,9,2025-07-12
650,323,286,2025-07-12
651,3,12,2025-07-12
652,227,-49,2025-07-12
653,377,20,2025-07-12
654,199,-155,2025-07-12
655,211,15,2025-07-12
656,201,-156,2025-07-12
657,418,-27,2025-07-12
658,84,32,2025-07-12
659,427,-194,2025-07-12
660,127,-31,2025-07-12
661,98,-84,2025-07-12
662,406,-43,2025-07-12
663,100,19,2025-07-12
664,78,-19,2025-07-12
665,265,7,2025-07-12
666,310,-3287,2025-07-12
667,230,-190,2025-07-13
668,179,-26,2025-07-13
669,373,-28,2025-07-13
670,466,-59,2025-07-13
671,408,-15,2025-07-13
672,483,-89,2025-07-13
673,3,48,2025-07-13
674,223,46,2025-07-13
675,156,-17,2025-07-13
676,141,16,2025-07-13
677,386,5,2025-07-13
678,309,10,2025-07-13
679,386,-69,2025-07-13
680,264,-564,2025-07-13
681,207,40,2025-07-13
682,475,-26,2025-07-13
683,393,100,2025-07-13
684,52,-644,2025-07-13
685,414,45,2025-07-13
686,430,-41,2025-07-13
687,229,-441,2025-07-13
688,99,8,2025-07-13
689,305,-194,2025-07-13
690,367,11,2025-07-13
691,198,-644,2025-07-13
692,296,131,2025-07-13
693,80,-42,2025-07-13
694,464,-15,2025-07-14
695,49,-887,2025-07-14
696,337,13,2025-07-14
697,236,-18,2025-07-14
698,100,8,2025-07-14
699,148,7,2025-07-14
700,26,33,2025-07-14
701,178,10,2025-07-14
702,54,41,2025-07-14
703,386,-5,2025-07-14
704,205,-41,2025-07-14
705,472,-104,2025-07-14
706,331,-57,2025-07-14
707,166,-18,2025-07-14
708,235,141,2025-07-14
709,51,25,2025-07-14
710,95,-39,2025-07-14
711,132,-5,2025-07-14
712,186,-18,2025-07-14
713,12,-35,2025-07-14
714,33,-199,2025-07-14
715,132,37,2025-07-14
716,450,-50,2025-07-14
717,428,23,2025-07-14
718,117,-38,2025-07-14
719,221,-256,2025-07-14
720,27,43,2025-07-14
721,379,238,2025-07-15
722,475,-48,2025-07-15
723,474,-21,2025-07-15
724,238,-6,2025-07-15
725,367,-40,2025-07-15
726,177,-49,2025-07-15
727,149,30,2025-07-15
728,171,-33,2025-07-15
729,496,-117,2025-07-15
730,256,-45,2025-07-15
731,234,-41,2025-07-15
732,414,103,2025-07-15
733,201,-112,2025-07-15
734,241,-135,2025-07-15
735,422,-52,2025-07-15
736,285,40,2025-07-15
737,295,10,2025-07-15
738,342,11,2025-07-15
739,14,33,2025-07-15
740,76,29,2025-07-15
741,86,31,2025-07-15
742,343,-164,2025-07-15
743,136,-48,2025-07-15
744,217,-19,2025-07-15
745,382,-124,2025-07-15
746,85,-950,2025-07-15
747,79,-40,2025-07-15
748,256,-129,2025-07-15
749,90,38,2025-07-16
750,470,633,2025-07-16
751,448,-43,2025-07-16
752,469,-907,2025-07-16
753,413,-26,2025-07-16
754,303,141,2025-07-16
755,72,-159,2025-07-16
756,84,20,2025-07-16
757,275,-27,2025-07-16
758,382,-32,2025-07-16
759,206,-248,2025-07-16
760,121,147,2025-07-16
761,224,31,2025-07-16
762,132,-50,2025-07-16
763,468,-53,2025-07-16
764,151,-165,2025-07-16
765,339,35,2025-07-16
766,432,-346,2025-07-16
767,100,18,2025-07-16
768,454,-6,2025-07-16
769,211,-187,2025-07-16
770,51,-35,2025-07-16
771,334,110,2025-07-16
772,417,-71,2025-07-16
773,391,196,2025-07-16
774,5,19,2025-07-16
775,10,49,2025-07-16
776,403,-33,2025-07-17
777,246,119,2025-07-17
778,357,-172,2025-07-17
779,342,-194,2025-07-17
780,168,95,2025-07-17
781,182,-68,2025-07-17
782,27,19,2025-07-17
783,360,-167,2025-07-17
784,272,-12,2025-07-17
785,303,-176,2025-07-17
786,56,171,2025-07-17
787,141,7,2025-07-17
788,307,-59,2025-07-17
789,141,22,2025-07-17
790,12,-13,2025-07-17
791,289,-177,2025-07-17
792,92,-146,2025-07-17
793,242,-18,2025-07-17
794,327,-124,2025-07-17
795,48,-43,2025-07-17
796,308,7,2025-07-17
797,360,5,2025-07-17
798,445,-44,2025-07-17
799,173,-44,2025-07-17
800,285,-30,2025-07-17
801,222,11,2025-07-17
802,171,-13,2025-07-17
803,387,-169,2025-07-17
804,237,-75,2025-07-18
805,450,-930,2025-07-18
806,352,-576,2025-07-18
807,141,755,2025-07-18
808,311,-552,2025-07-18
809,3,-426,2025-07-18
810,461,-13,2025-07-18
811,410,13,2025-07-18
812,191,37,2025-07-18
813,250,-169,2025-07-18
814,174,-374,2025-07-18
815,149,33,2025-07-18
816,497,57,2025-07-18
817,426,25,2025-07-18
818,372,-31,2025-07-18
819,158,39,2025-07-18
820,223,36,2025-07-18
821,423,4468,2025-07-18
822,133,-3436,2025-07-18
823,39,-5,2025-07-18
824,266,11,2025-07-18
825,177,-35,2025-07-18
826,44,-138,2025-07-18
827,436,-30,2025-07-18
828,426,-28,2025-07-18
829,375,-909,2025-07-18
830,207,-50,2025-07-18
831,391,-127,2025-07-19
832,217,-140,2025-07-19
833,330,-23,2025-07-19
834,282,-163,2025-07-19
835,30,107,2025-07-19
836,154,27,2025-07-19
837,144,102,2025-07-19
838,118,-36,2025-07-19
839,290,131,2025-07-19
840,331,-85,2025-07-19
841,379,-181,2025-07-19
842,463,48,2025-07-19
843,93,172,2025-07-19
844,68,150,2025-07-19
845,493,11,2025-07-19
846,129,-20,2025-07-19
847,363,-649,2025-07-19
848,220,157,2025-07-19
849,122,29,2025-07-19
850,267,6,2025-07-19
851,417,-151,2025-07-19
852,165,-681,2025-07-19
853,1,-31,2025-07-19
854,425,-19,2025-07-19
855,419,-41,2025-07-19
856,239,41,2025-07-19
857,460,-1427,2025-07-19
858,71,3782,2025-07-20
859,124,189,2025-07-20
860,453,-55,2025-07-20
861,262,-181,2025-07-20
862,450,-33,2025-07-20
863,345,42,2025-07-20
864,364,-60,2025-07-20
865,116,-38,2025-07-20
866,173,-34,2025-07-20
867,450,-418,2025-07-20
868,404,-20,2025-07-20
869,61,-55,2025-07-20
870,430,737,2025-07-20
871,161,10,2025-07-20
872,392,-92,2025-07-20
873,472,-387,2025-07-20
874,326,27,2025-07-20
875,452,-197,2025-07-20
876,162,22,2025-07-20
877,147,-155,2025-07-20
878,48,-5,2025-07-20
879,176,6,2025-07-20
880,109,49,2025-07-20
881,181,-39,2025-07-20
882,181,115,2025-07-20
883,237,-160,2025-07-20
884,468,-111,2025-07-20
885,443,179,2025-07-20
886,366,-111,2025-07-21
887,46,-549,2025-07-21
888,249,-33,2025-07-21
889,448,-70,2025-07-21
890,20,4059,2025-07-21
891,385,-42,2025-07-21
892,199,163,2025-07-21
893,206,-109,2025-07-21
894,199,43,2025-07-21
895,223,-158,2025-07-21
896,208,6,2025-07-21
897,12,-44,2025-07-21
898,400,303,2025-07-21
899,29,-82,2025-07-21
900,245,-142,2025-07-21
901,213,-41,2025-07-21
902,37,-25,2025-07-21
903,233,-10,2025-07-21
904,436,-6,2025-07-21
905,142,-47,2025-07-21
906,137,-18,2025-07-21
907,391,229,2025-07-21
908,176,-29,2025-07-21
909,418,-25,2025-07-21
910,211,50,2025-07-21
911,267,-50,2025-07-21
912,170,-84,2025-07-21
913,244,48,2025-07-22
914,14,-174,2025-07-22
915,471,-32,2025-07-22
916,36,50,2025-07-22
917,288,-821,2025-07-22
918,406,48,2025-07-22
919,164,531,2025-07-22
920,97,5,2025-07-22
921,254,-133,2025-07-22
922,47,742,2025-07-22
923,320,5,2025-07-22
924,368,17,2025-07-22
925,88,-108,2025-07-22
926,467,956,2025-07-22
927,56,-13,2025-07-22
928,181,49,2025-07-22
929,473,30,2025-07-22
930,233,424,2025-07-22
931,208,-114,2025-07-22
932,211,-186,2025-07-22
933,417,384,2025-07-22
934,334,-3260,2025-07-22
935,470,-106,2025-07-22
936,35,-37,2025-07-22
937,371,-35,2025-07-22
938,159,-25,2025-07-22
939,347,-15,2025-07-22
940,205,-603,2025-07-22
941,176,-51,2025-07-23
942,93,-495,2025-07-23
943,252,-13,2025-07-23
944,282,-75,2025-07-23
945,123,-736,2025-07-23
946,454,-197,2025-07-23
947,168,849,2025-07-23
948,496,-46,2025-07-23
949,116,-28,2025-07-23
950,89,-7,2025-07-23
951,352,-31,2025-07-23
952,103,-30,2025-07-23
953,453,104,2025-07-23
954,81,671,2025-07-23
955,417,13,2025-07-23
956,243,-774,2025-07-23
957,454,-138,2025-07-23
958,296,19,2025-07-23
959,480,-28,2025-07-23
960,168,-17,2025-07-23
961,285,-48,2025-07-23
962,352,-16,2025-07-23
963,272,-209,2025-07-23
964,254,-73,2025-07-23
965,212,-21,2025-07-23
966,2,11,2025-07-23
967,87,26,2025-07-23
968,224,-85,2025-07-24
969,231,-45,2025-07-24
970,319,-31,2025-07-24
971,445,-205,2025-07-24
972,248,14,2025-07-24
973,95,-854,2025-07-24
974,140,40,2025-07-24
975,332,200,2025-07-24
976,275,-175,2025-07-24
977,357,-9,2025-07-24
978,136,908,2025-07-24
979,147,-3063,2025-07-24
980,442,154,2025-07-24
981,440,57,2025-07-24
982,124,-882,2025-07-24
983,252,-141,2025-07-24
984,330,-871,2025-07-24
985,212,-23,2025-07-24
986,310,-46,2025-07-24
987,142,31,2025-07-24
988,53,-28,2025-07-24
989,41,-20,2025-07-24
990,391,-15,2025-07-24
991,15,-13,2025-07-24
992,384,-47,2025-07-24
993,21,-65,2025-07-24
994,447,-147,2025-07-24
995,296,20,2025-07-25
996,29,-106,2025-07-25
997,127,-39,2025-07-25
998,488,-97,2025-07-25
999,107,7,2025-07-25
1000,6,14,2025-07-25
1001,405,42,2025-07-25
1002,173,16,2025-07-25
1003,144,147,2025-07-25
1004,114,881,2025-07-25
1005,129,-26,2025-07-25
1006,236,-29,2025-07-25
1007,457,-46,2025-07-25
1008,233,-160,2025-07-25
1009,406,-780,2025-07-25
1010,217,-622,2025-07-25
1011,447,-20,2025-07-25
1012,496,-71,2025-07-25
1013,141,-41,2025-07-25
1014,127,-6,2025-07-25
1015,316,-894,2025-07-25
1016,127,889,2025-07-25
1017,147,-44,2025-07-25
1018,259,29,2025-07-25
